id,nome,indirizzo,cap,citta,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione
93,SLG Travel,"Via Montalbo, 1/e",90142,Palermo,0916371872,0916311686,,info@slgtravel.it,,agenzia di viaggi,,SLG Travel di Bova Maria Grazia
107,Esedra Viaggi,"Via Trapani, 12/14/16",90141,Palermo,091/323435,091/326919,,info@esedraviaggi.com,www.esedraviaggi.com,agenzia di viaggi,,Esedra viaggi S.r.l.
108,Tatamaro Viaggi,"Via Pietro Scaglione, 6",90145,Palermo,0916851311,0916851008,,tatamaroviaggi@hotmail.it,www.tatamaroviaggi.it,agenzia di viaggi,,Tatamaro Viaggi di Ivan Vitrano
110,Tour and Travelling,"Via Messina, 7/a",90141,Palermo,091331841,0916123403,,info@tourandtravelling.it,www.weddingtosicily.com,agenzia di viaggi,,Mondi e Culture Viaggi e Turismo s.n.c.
114,Fevi Tour,"Via Briuccia, 84",90146,Palermo,091/512649,091514734,,info@fevitour.it,www.fevitour.it,agenzia di viaggi,,Briuccia Travel By Fevi Tour di Pietro Catalano
116,Flamb?? Tour,"Via Nicol?? Garzilli, 38/a",90141,Palermo,091/6254321,091/348517,,info@flambotour.it,www.flambotour.it,agenzia di viaggi,,Flamb?? Tour S.r.l.
117,Travel Sicily,"Largo Trinacria, 20",90144,Palermo,091331865,091326286,,promotour@libero.it,,agenzia di viaggi,,Promotour s.r.l.
120,Furlan Viaggi,"Via Dante, 56/c",90141,Palermo,091/6118483,091/326896,,furlanviaggi@hotmail.it,www.sicilysi.it,agenzia di viaggi,,Dante Viaggi S.a.s.
136,Virtus Viaggi e Turismo,"Via Maqueda, 260",90134,Palermo,0916014515,0913809893,,virtusviaggi@libero.it,www.virtusviaggi.it,agenzia di viaggi,,Virtus Viaggi e Turismo s.n.c.
138,World Of Tui,"Piazza Giovanni Amendola, 15",90141,Palermo,0916121276,0916093124,,palermo1@tui.it,www.tui.it,agenzia di viaggi,,Easy Market S.p.A.
8,Guccione Viaggi,"Via Ammiraglio Gravina, 80",90139,Palermo,091581146,091324808,,mail@guccioneviaggi.it,www.guccioneviaggi.it,agenzia di viaggi,,
17,Air Antoloving Viaggi e Vacanze,"Via Maqueda, 231",90133,Palermo,091/6118599,091/6121472,,antoloving@gmail.com,www.antoloving.com,agenzia di viaggi,,Air Antoloving Viaggi e Vacanze di Hossain Mamun
9,Aeroviaggi,"Via XII gennaio, 1/c",90141,Palermo,091/333370,091/584194,,succursale@aeroviaggi.it,www.aeroviaggi.it,agenzia di viaggi,,Aeroviaggi S.p.A.
25,Kalesa Viaggi,"Corso Calatafimi, 801",90129,Palermo,0916572262,0916572263,,info@kalesaviaggi.it,www.kalesaviaggi.it,agenzia di viaggi,,Kalesa Viaggi S.n.c.
27,Alechiari Viaggi & Turismo,Via San Lorenzo 91/c,90146,Palermo,091/6886365,0916887133,,alechiari@tiscali.it,www.alechiari-viaggi.com,agenzia di viaggi,,Mercurio S.r.l.
31,Amnesia Viaggi e Turismo,"Via Nicol?? Turrisi, 33",90138,Palermo,091/9821723,091/8430778,,booking@amnesiaviaggi.it,www.amnesiaviaggi.it,agenzia di viaggi,,Amnesia Viaggi di Damiata Gaetano
32,Lai Viaggi,"Piazza San Francesco di Paola, 23",90138,Palermo,091583728,091589995,,info@laiviaggi.it,www.laiviaggi.it,agenzia di viaggi,,
33,Arcadelphi Viaggi Succ.,"Via P. Paternostro, 10",90144,Palermo,091/6118108,091586607,,giovanna.caridi@arcadelphi.com,,agenzia di viaggi,,Arcadelphi Viaggi S.r.l.
34,Landolina Viaggi e Turismo,"Via Marchese di Villabianca, 82/C",90143,Palermo,091300529,0916259787,,info@landolinaviaggi.it,www.landolinaviaggi.it,agenzia di viaggi,,
36,Laurum Viaggi,"Via Alloro, 113",90133,Palermo,0917817303,0916171109,,laurumviaggi@gmail.com,,agenzia di viaggi,,Laurum Viaggi di Vernengo Vita Grazia
37,Azania Viaggi,"Via Mariano Stabile, 94",90139,Palermo,091/321725,091/325468,,info@azaniaviaggi.eu,www.azaniaviaggi.eu,agenzia di viaggi,,Azania Viaggi S.r.l.
63,Cape Land succ.,"Via Terrasanta, 59",90141,Palermo,091/6251081,091/7309052,,info@capelandviaggi.com,,agenzia di viaggi,,
77,Coralia Viaggi,"Piazza due Palme, 13/14",90133,Palermo,091/7811526,091/7495213,,coralia@essecitour.it,www.essecitour.it,agenzia di viaggi,,Essecitour S.a.s.
78,Piluna Viaggi,"Via Francesco Lo Iacono, 61",90144,Palermo,09173008779,0917303711,,pilunaviaggi@yahoo.it,,agenzia di viaggi,,
79,Pirelli Viaggi,"Via Giovanni Campolo, 16",90145,Palermo,0916821888,0916834355,,mail@le-vacanze.it,www.le-vacanze.it,agenzia di viaggi,,Le Vacanze Realizzabili s.r.l.
81,Premiere 2000 Sede,"Via Ausonia, 95",90146,Palermo,091519175,091516180,,info@premiere2000.it,www.premiere2000.it,agenzia di viaggi,,Viaggi 2000 s.a.s
82,Cril?? Travel,"Via Florestano Pepe, 13",90139,Palermo,091/6622258,091/6092694,,crilutravel@tin.it,www.crilutravel.it,agenzia di viaggi,,Sicilia insolita Crilutravel Coop.
83,Rais Travel,"Via dei Nebrodi, 10",90144,Palermo,091528566,091528572,,rais.travel@raistravel.com,www.raistravel.com,agenzia di viaggi,,
84,CT Travel,"Via Roccazzo, 88",90135,Palermo,091/5071399,091/50771399,,citytravelpalermo@hotmail.it,,agenzia di viaggi,,
85,Rebayas Viaggi,"Via Mariano Accardo, 50",90145,Palermo,0916865313,0915084748,,info@rebayasviaggi.it,www.rebayasviaggi.it,agenzia di viaggi,,Rebayas Viaggi s.n.c.
86,Ruggieri Giovanni & Figli,"Via Emerico Amari, 40",90139,Palermo,091587144,091588464,,ruggieri@agenziaruggieri.it,www.agenziaruggieri.it,agenzia di viaggi,,
87,S. Tagliavia & C.,"Via Cavour, 117",90133,Palermo,091582533,091584240,,mail@tagliavia.it,www.tagliavia.it,agenzia di viaggi,,S. Tagliavia & C. s.r.l.
91,Daliomar Viaggi Sede,"Piazza Tommaso Natale, 53",90147,Palermo,091/6911579,091/534000,,daliomarviaggi@neomedia.it,,agenzia di viaggi,,Daliomar Viaggi di Isca Pietra
92,Simon Travel,"Corso Calatafimi,164",90129,Palermo,091485171,091484469,,booking@agecoturs.com,www.agecoturs.com,agenzia di viaggi,,Simon Travel s.r.l.
96,Diodoro Travel,"Via Principe di Palagonia, 82/f",90145,Palermo,091/6852821,091/6851661,,info@diodorotravel.it,www.diodorotravel.it,agenzia di viaggi,,Diodoro Travel S.p.a.
97,Disegni di Viaggio,"Via Giuseppe Sciuti, 77/a",90144,Palermo,091/7743371,091/8771459,,disegnidiviaggio@live.it,www.disegnidiviaggio.it,agenzia di viaggi,,Elleti S.r.l.
98,Soleventi & Tour,"Via Serradifalco, 206",90145,Palermo,0916813195,0917486732,,info@soleventietour.com,www.soleventitour.com,agenzia di viaggi,,Soluzione Eventi & Turismo s.r.l
99,Sopravvoliamo Viaggi,"Piazza Ottavio Ziino, 32",90145,Palermo,0916851438,0916851435,,sopravv@tin.it,,agenzia di viaggi,,Sopravvoliamo Viaggi di Prosp. Soc. Coop. a r.l.
100,Eiffel Viaggi,"Via Costantino Nigra, 69",90129,Palermo,091/7308443,091/7829552,,info@eiffelviaggi.it,www.eiffelviaggi.it,agenzia di viaggi,,Axia Viaggi di Badalamenti Loredana S.a.s.
102,Strasburgo Viaggi,"Via Olanda, 23/a",90146,Palermo,091516434,0916786692,,strasburgoviaggi@libero.it,www.strasburgoviaggi.it,agenzia di viaggi,,G.M. Travel di Manlio Di Giorgi
103,Eliadi Viaggi,"Via T. Tasso, 76",90144,Palermo,0917828007,091/7828007,,eliadipi@eliadiviaggi.191.it,,agenzia di viaggi,,
104,Sullivan Viaggi,"Via Petrarca, 20",90144,Palermo,0916254086,091344333,,sullivanviaggi@libero.it,,agenzia di viaggi,,Sicilia Bella s.r.l.
105,Erre2viaggi,"Via Giuseppe Alessi, 10",90143,Palermo,091/345563,091/340321,,ronchi@erredueviaggi.it,www.erredueviaggi.it,agenzia di viaggi,,
106,T Travel,Calata Marinai d'Italia Sn,90139,Palermo,0917573358,0916118841,,agepa.gambino@tirrenia.it,,agenzia di viaggi,,Placido Mancuso e Figli Tour s.r.l.
109,Esse Pi?? Viaggi,"Via Catania, 23",90141,Palermo,091/302439,091/7826099,,info@essepiuviaggi.it,www.essepiuviaggi.it,agenzia di viaggi,,Esse Pi?? Viaggi di Sicilia Concetta
111,Estamar Viaggi e Turismo,"P.zza Castelnuovo, 35",90141,Palermo,091/333955,091/321695,,info@coretur.it,,agenzia di viaggi,,
15,In Vacanza,"Viale Strasburgo, 167",90146,Palermo,091512633,0918434762,,invacanzarl@libero.it,www.invacanzasicilia.com,agenzia di viaggi,,In Vacanza S.c.a.r.l.
16,Inpoltronissima,"Via Michele Amari, 6",90139,Palermo,0916115050,0917817390,,vincenzo.carlisi@inpoltronissima.it,www.inpoltronissima.it,agenzia di viaggi,,Inpoltronissima S.r.l.
18,Iopitur Service Itinerarium Succ.,"Via Giacomo Puccini, 54",90144,Palermo,0918873746,0917486756,,fabriziomistretta@iopitourpalermo.it,www.iopitourpalermo.it,agenzia di viaggi,,Centro Itinerarium di Iozzia Giuseppa & C. s.a.s.
28,Kukla Viaggi & Turismo Sede,"Via Enrico Albanese, 31",90139,Palermo,0916124546,0916124546,,info@kuklaviaggi.com,www.kuklaviaggi.it,agenzia di viaggi,,Kukla Viaggi Soc. Coop.
41,Marras Viaggi,"Corso Alberto Amedeo, 168",90138,Palermo,0913222240,0915072473,,info@marrasviaggi.com,www.marrasviaggi.com,agenzia di viaggi,,Marras Viaggi di Marras Francesco
43,Mashia Travel,"Piazza Giulio Cesare, 8",90127,Palermo,0916176941,0916176941,,dilorenzotravel@virgilio.it,,agenzia di viaggi,,
44,Bopa Grandi Biglietterie,P.zza Giulio Cesare c/o Stazione di Palermo,90127,Palermo,091/6161392,0916161392,,bgb.palermo@bopa.it,,agenzia di viaggi,,
52,Borz?? Viaggi Succ.,"Via F. Lo Jacono, 22/c",90144,Palermo,091//6255522,091/6255518,,borziviaggi@borziviaggi.it,www.borziviaggi.it,agenzia di viaggi,,Borz?? Viaggi della Borz?? Alberto
56,Nashe Viaggi,"Corso Finocchiaro Aprile, 188",90138,Palermo,0912531016,0912531016,,palermo1@nasheviaggi.com,,agenzia di viaggi,,Viaggiando s.r.l
57,Nebrofood Viaggi e Turismo,"Via Aurispa, 70/a",90145,Palermo,0917657106,0917657107,,agenziaviaggi@nebrofood.it,www.nebrofood.it,agenzia di viaggi,,Nebrofood s.a.s di Dario La Mantia
59,Calendario Viaggi,"via Nunzio Morello, 21",90144,Palermo,091/6114545,091/6113939,,info@calendarioviaggi.com,www.calendarioviaggi.com,agenzia di viaggi,,Holding Turismo S.p.a.
65,Carthage Travel,Via M. Stabile. 97,90139,Palermo,091/7811522,091/7811522,,infocarthagetravel@yahoo.it,www.carthagetravel.it,agenzia di viaggi,,Carthage Travel S.r.l.
115,Tourist Travel Panormus,"Via Alessio Di Giovanni, 21",90144,Palermo,091302600,0913809840,,info@ponormusviaggi.it,www.panormusviaggi.it,agenzia di viaggi,,Avvenire s.r.l.
118,Frangi Ritt Viaggi,"Viale Leonardo Da Vinci, 233",90145,Palermo,091/400825,091/409036,,info@frangirittviaggi.com,www.frangirittviaggi.com,agenzia di viaggi,,Frangi Ritt Viaggi e Turismo di Aldo Cipr?? & c. S.a.s.
119,TRAVEL360,"Via Marchese Ugo, 72",90141,Palermo,0915089224,0915089220,,info@gruppo360.com,www.travel360palermo.it,agenzia di viaggi,,
121,Travelbag,"Via Michele Amari, 13",90139,Palermo,0918431085,0918431085,,pietro.diquarto@travelbag.it,www.azservizi-pa.it,agenzia di viaggi,,AZ Servizi di Marsia Marika
122,Traveleze,"Via Notarbartolo, 49",90141,Palermo,091345758,0917828239,,info@traveleze.it,,agenzia di viaggi,,Traveleze s.r.l.
123,Gamma Viaggi,"Via Brunetto Latini, 11",90141,Palermo,091/582258,091/6629016,,gammaviaggi@gmail.com,,agenzia di viaggi,,Gamma Viaggi S.r.l.
125,Travellink,"Via Emilia, 35",90146,Palermo,0912523153,0916195385,,travellink.srl@libero.it,,agenzia di viaggi,,
126,Gianniviaggi,"Via Praga, 48",90143,Palermo,091/6372519,091/6372482,,info@stsitalia.it,wwwstsitalia.it,agenzia di viaggi,,Sicilian Tourist Service S.r.l.
127,Trinacria Viaggi,"Via Maggiore Toselli, 28",90143,Palermo,091344376,091348055,,trinacriaviaggi@libero.it,,agenzia di viaggi,,
128,Gigatour,"Via del Quarnaro, 14",90141,Palermo,091/6851471,091/229914,,info@gigatour.it,www.gigatour.it,agenzia di viaggi,,Li.La S.r.l.
129,Giosaltour Viaggi,"Via S. Puglisi, 15/17",90143,Palermo,091/7302628,091/303150,,giosaltour@servizitalia.it,www.servizitalia.it,agenzia di viaggi,,Servizitalia societ?? Coop. a.r.l.
131,Globalsem Viaggi,"Via Giusino, 51",90146,Palermo,091/7848420,02/30132407,,info@globalsemviaggi.it,www.globalsemviaggi.it,agenzia di viaggi,,Globalsem S.r.l.
132,Viaggiando con Marco Polo,"Viale Strasburgo, 385 a/b",90146,Palermo,0917831570,0917831569,,viaconmarcopolo@gmail.com,,agenzia di viaggi,,Marcopolo Viaggi S.a.s.
135,Virgilio Viaggi,"Piazza Virgilio, 16",90146,Palermo,091323751,0916117747,,info@virgilioviaggi.com,www.virgilioviaggi.com,agenzia di viaggi,,Controvento di Iraci Consuelo S.a.s.
137,Volare Together,"Via C. Raiti, 4",90128,Palermo,091590221,0916455594,,infovolare@libero.it,www.volaretogether.it,agenzia di viaggi,,
139,Zaessen Viaggi,"Via Malaspina, 35",90145,Palermo,0916117538,0916197027,,zaessenviaggi@alice.it,www.zaessenviaggi.it,agenzia di viaggi,,Zaessen Viaggi di Villafranca Rosalia
5,Tourplus Sicilia,"Via Libert??, 103",90143,Palermo,091/349357,091/349195,,info@tourplus.com,www.tourplus.com,agenzia di viaggi,,Tour Plus Sicilia S.r.l.
7,Adularia Viaggi,"C.so Calatafimi, 724",90129,Palermo,091/6681856,091/6681395,,info @adulariaviaggi.com,www.adulariaviaggi.com,agenzia di viaggi,,Adularia Viaggi S.n.c.
6,Acitour Palermo,"Via Principe di Patern??, 85",90144,Palermo,091/6257574,091/6250543,,info@acitour.it,www.acitourviaggi.it,,,Acitour Palermo S.r.l.
12,I Viaggi del sud,"Via Napoli, 52",90133,Palermo,091584573,091320662,,viaggiansa@libero.it,www.iviaggidelsud.it,agenzia di viaggi,,ANSA S.r.l.
13,I Voyages succ.,"Via Valderice, 11",90144,Palermo,091518293,091518293,,ivoyagespalermo@hotmail.com,,agenzia di viaggi,,
29,Alternative Sicily,"Via Sammartino, 9",90141,Palermo,091/6127093,091/8041071,,info@alternativesicily.com,www.alternativesicily.com,agenzia di viaggi,,Alternative DMC S.r.l.
39,Biba Tour,"Via Emilia, 45",90144,Palermo,091/6703133,091/515155,,info@bibatour.com,www.bibatour.com,agenzia di viaggi,,
47,Borz?? Viaggi Sede,"Via Serradifalco, 2/c",90145,Palermo,091/225511,091/6820269,,borziviaggi@borziviaggi.it,www.borziviaggi.it,agenzia di viaggi,,Borz?? Viaggi della Borz?? Alberto
62,Novantacento Travel,"Via Sampolo, 125/c",90146,Palermo,0916371444,0916315555,,info@90100travel.it,www.90100travel.it,agenzia di viaggi,,S.T.S. s.r.l.
68,Pachamama Inca,"Via Giovanni Pascoli, 13/15",90144,Palermo,0917829682,091304148,,bica@pachamamainca.it,www.pachamamainca.it,agenzia di viaggi,,Pachamama Inca di Bica Anna Maria Gaetana
76,Conca D'Oro Viaggi,"Piazza indipendenza, 41",90129,Palermo,091/487288,091/487807,,salvo@concadoroviaggi.it,www.concadoroviaggi.it,agenzia di viaggi,,Conca D'Oro Viaggi S.r.l.
89,Si Planet,"Via Carmelo Onorato, 39",90129,Palermo,091422212,0916619093,,info@siplanet.it,www.siplanet.it,agenzia di viaggi,,Si Planet di Maurizia Sicurella
90,Si Viaggiare,"Via dell'Orsa Maggiore, 98",90125,Palermo,0916484410,0916484100,,info@siviaggiaresrl.it,www.siviaggiaresrl.it,agenzia di viaggi,,Si Viaggiare s.r.l.
94,Di Maria Viaggi e Turismo,"Via dei Nebrodi, 65 e/f",90146,Palermo,091/6700090,091/6700048,,info@dimariaviaggi.it,www.dimariaviaggi.it,agenzia di viaggi,,Di Maria Service S.n.c.
95,Sogni Nel Blu,"Via Salvatore Puglisi, 55",90143,Palermo,0916124380,091612438,,sogninelblusicilia@sogninelblu.com,www.sogninelblu.com,agenzia di viaggi,,Martello Global Company s.r.l
101,Eleantour,"Via Uditore, 2/e",90145,Palermo,091/405118,091/405118,,eleantour@libero.it,www.eleantour.it,agenzia di viaggi,,Sabimar S.a.s.
124,Garofalo Viaggi,"Via Generale Francesco La Ferla, 9/11",90123,Palermo,091/6216445,091/6216003,,garofaloviaggi@aliceposta.it,,agenzia di viaggi,,Garofalo Rosalia
133,Vigi Viaggi,"Via San Lorenzo, 95/e",90146,Palermo,0916883889,0916883889,,vigiviaggi@gmail.com,www.vigiviaggi.it,agenzia di viaggi,,Vigi Viaggi S.a.s. di Macaluso & C.
140,Zaid Travels,"Via Vittorio Emanuele, 311",90134,Palermo,0917658617,0917658617,,zaidtravels@libero.it,,agenzia di viaggi,,
11,Aglieri Viaggi,"Via Mendola, 2/f",90127,Palermo,091/6160672,091/6100091,,aglieriviaggi@tiscali.it,,agenzia di viaggi,,Aglieri Turismo Viaggi e Crociere di Aglieri Ignazio
19,Jato Travel World,"Via Ernesto Basile, 80",90128,Palermo,0916573349,0916573338,,e.basile@jatotravel.it,www.jatotravel.it,agenzia di viaggi,,
20,Aish Travel,"Via A. Pacinotti, 21",90145,Palermo,091/6811667,091/6823125,,info@aishtravel.com,,agenzia di viaggi,,Ga.al. Viaggi S.n.c. di Migliazzo Alessio
21,Jetset,"Piazza Luigi Sturzo, 5",90139,Palermo,091324006,091332755,,jetset@viaggijetset.com,www.viaggijetset.com,agenzia di viaggi,,Jetset S.p.A.
22,Journey Travel,"Corso Calatafimi, 705",90129,Palermo,091420792,091485678,,baykamtour@baykamtour.it,www.baykamtour.it,agenzia di viaggi,,Baykam Tour S.n.c.
23,Albergheria Viaggi,"Via G, Sciuti, 140/b",90144,Palermo,091/301622,091/7307981,,info@albergheriaviaggi.com,www.albergheriaviaggi.com,agenzia di viaggi,,Azimut Soc. Coop. a.r.l.
24,Kaimano Viaggi,"Via Giuseppe Giusti, 49",90144,Palermo,0916258885,091340054,,info@bettravel.it,www.bettravel.it,agenzia di viaggi,,BET Travel S.r.l.
38,Lele Viaggi,"Via Giotto, 36",90145,Palermo,0916865050,0916832779,,leleviaggi@tiscali.it,www.leleviaggi.it,agenzia di viaggi,,Lele Viaggi di Gabriele Mancino
42,Marvida Viaggi e Turismo,"Via Nicolo' Turrisi, 31",90138,Palermo,0917794310,0917794312,,info@marvidaviaggi.it,www.marvidaviaggi.it,agenzia di viaggi,,Aleda e C. S.a.s
45,Mauritania Viaggi e Turismo,"Via Generale Arimondi, 2/N",90143,Palermo,0916269861,091307505,,mauritaniaviaggi@libero.it,,agenzia di viaggi,,Mauritania Viaggi di Orlando Debora
48,Melagodo Viaggi succ.,"Via Dante, 66",90141,Palermo,0916123808,0916123808,,palermo@melagodoviaggi.it,,agenzia di viaggi,,Southwards S.a.s.
49,Mesotour,"Via Giovanni Zappal??, 22/24",90145,Palermo,091203445,091203644,,info@mesotourviaggi.com,www.mesotourviaggi.com,agenzia di viaggi,,Il Tuareg S.r.l.
50,Mesotour,"Via Vittorio Emanuele, 117",90133,Palermo,0916121476,0916093649,,sun_travel@libero.it,,agenzia di viaggi,,Mesotour Viaggi Travel Network
51,Mister Holiday Filiale di Palermo,"Via Uditore, 12/P",90145,Palermo,0917297232,091227463,,palermo@misterholiday.it,www.misterholiday.it,agenzia di viaggi,,Mister Holiday S.r.l.
53,Mondolingua Tour,"Via Cristoforo Colombo, 30",90142,Palermo,091362058,0916311512,,mondo.lingua@tiscali.it,www.mondolingua.it,agenzia di viaggi,,
54,Briaria Travel,"Piazza S. Francesco Saverio, 3",90134,Palermo,091/9765138,091/9765138,,insideballaro@libero.it,,agenzia di viaggi,,Briaria Travel di Marcel Berke
60,Norma Vacanze,"Via Carbone, 139",90151,Palermo,0916840754,0916840330,,info@normavacanze.it,www.normavacanze.it,agenzia di viaggi,,Norma Vacanze s.a.s.
61,Calpia Viaggi,"Via Maggiore Pietro Toselli, 103",90143,Palermo,091/340966,091/6197967,,info@calpiaviaggi.com,,agenzia di viaggi,,Pinguino Tour S.a.S.
64,Nuova Idea Viaggi,"Via Isidoro La Lumia, 56",90139,Palermo,091333496,091588852,,info@nuovaideaviaggi.it,www.nuovaideaviaggi.it,agenzia di viaggi,,Nuova Idea Viaggi s.r.l
66,Cica Blu Viaggi,Via Terrasanta 12/14,90141,Palermo,091/7829192,091/6260639,,info@cicablu.com,www.cicablu.com,agenzia di viaggi,,Ci.ca. S.r.l.
67,Oikistes Viaggi & Turismo,"Corso Finocchiaro Aprile, 165",90138,Palermo,0917026444,091591069,,info@oikistes.191.it,www.oikistesviaggi.it,agenzia di viaggi,,Oikistes Viaggi & Turismo by Spot s.r.l.
69,Cisalpina Tours - Vivere e Viaggiare,"Via Siracusa, 3",90141,Palermo,091/6252100,091/3809903,,palermo@vivereeviaggiare.it,www.cisalpina.it,agenzia di viaggi,,Cisalpina Tours S.p.a.
70,Clamax Service,"Via Domenico Scin??, 106/B",90139,Palermo,091/6124088,091/6623406,,mesotour1@clamaxservice.191.it,,agenzia di viaggi,,
71,Palma Nana,"Via Archimede, 56",90139,Palermo,0917434726,0913809837,,info@educazioneambientale.com,www.educazioneambientale.com,agenzia di viaggi,,Soc. Coop. a.r.l.
73,Coffe Travel,"P.zza Sant'Oliva, 43/44",90144,Palermo,091/7851896,091/7851896,,,,agenzia di viaggi,,Capreri S.r.l.
74,Collage Turismo Viaggi e Vacanze,"Via Umberto Giordano, 37/a",90144,Palermo,091/6814222,091/6818309,,info@collageturismo.it,www.collageturismo.it,agenzia di viaggi,,Collage Turismo S.r.l.
75,Pietro Barbaro,Molo Vittorio Veneto - Porto di Palermo,90100,Palermo,091333333,091329990,,info@pietrobarbaro.com,www.pietrobarbaro.com,agenzia di viaggi,,
88,Scialo Viaggi,"Via Luigi Pirandello, 19",90144,Palermo,0917219096,0916264281,,info@scialoviaggi.it,www.scialoviaggi.it,agenzia di viaggi,,
112,Fan Viaggi Forum,Via Pecoraino (c/o Centro Comm. Forum),90124,Palermo,091/6212488,091/474421,,info@viaggi-forum.it,www.viaggi-forum.it,agenzia di viaggi,,Viaggi Forum
113,Tourismondo,"Via Ammiraglio Rizzo, 50",90142,Palermo,0916315628,091362446,,info@tourismondo.it,,agenzia di viaggi,,Terre di Sicania Service Soc. Coop. a r.l.
130,Glintour,"Via Ariosto, 14",90144,Palermo,091/6257300,091/348009,,glintour@libero.it,,agenzia di viaggi,,Nuova Compagnia delle Indie di Arena R. & C. S.a.s.
134,Villa Tasca Viaggi,"Via Palmerino, 24",90129,Palermo,091489518,0916452797,,villatascaviaggi@gmail.com,,agenzia di viaggi,,Villa Tasca Viaggi s.r.l.
5,,"Piazza Vittorio Emanuele Orlando, 41",,,091 6111484,091 6111484,3356316148,studiolegaleditanto@libero.it,,consolato,,
6,,"Viale della Libert??, 159",,,091 305132,091 347093,335 6209284,,,consolato,,
7,,"Via Roma, 386",,,091 588661,091 585155,,mancuso@infcom.it,,consolato,,
14,,"Viale Orfeo, 18",,,091 6113970,091 6114899,,visa@consolatorussopa.it,,consolato,,
17,,"Piazzetta Scannaserpe, 3",,,091 543506,091 6372482,,hc@sikania.it,,consolato,,
18,,"Via Noto, 34",,,091 6259541,091 308996,,congr.pa@issbi.org,,consolato,,
19,,"Via Riccardo Wagner, 9",,,0916093512 - 091589752,0916110983,,palmigiano@consolatolituania.com,,consolato,,
20,,"Via Siracusa, 34",,,0916256218,0916256234,,bcc@studiobcc.it,,consolato,,
23,,"Via Principe di Villafranca, 57",,,091333901,091333901,,consolatomonaco.palermo@virgilio.it,,consolato,,
9,,"Piazza S. Oliva, 28",,,091 6110329,,335 6309807,consoleburkfasopalermo@gmail.com,,consolato,,
10,,"Via Selinunte, 1",,,091 6112144,091 6120568,,capoverde@aacweb.it,,consolato,,
11,,"Via Emerico Amari, 8",,,091 329744,091 6113225,,consolatocilepa@gmail.com,,consolato,,
16,,"Via Principe di Villafranca, 33",,,091 9820808,091 9820808,,palermo@hkdipio.de,,consolato,,
8,,"Via Principe di Granatelli, 86",,,091 6015335,091 6015314,,agostino.randazzo@randazzo.it,,consolato,,
13,,"Via Mariano Stabile, 136",,,091 332742,091 332742,,cotedivoireconspa@alice.it,,consolato,,
15,,"Via Principe di Belmonte, 101",,,091 583405,091 6110299,,fsalernocardillo@notariato.it,,consolato,,
22,,"Via Villa Verona, 35",,,0916886023,0916881643,,c.g.m.-palermo@maec.gov.ma,,consolato,,
24,,"Via Emerico Amari, 8",,,091587377,091307790,,tpandi@tin.it,,consolato,,
26,,"Via Mariano Stabile, 172",,,0916110910,0916111908,,consulatepakistan@tagliavia.com,,consolato,,
27,,"Via Pietro Bonanno, 26",,,091547414,0916316439,,degregoriopaolo@libero.it,,consolato,,
12,,"Piazza Federico Chopin, 13",,,091 226178,178 2787334,,adifres@tin.it,,consolato,,
21,,"Via Principe di Belmonte, 55",,,091333333,0917437388,,maltaconsul.palermo@gov.mt,,consolato,,
28,,"Piazzale Ungheria, 73",,,091320954,091583706,,info@studiocaramanna.it,,consolato,,
